Time,X,Y,Z
239,32.745967635944425,8.92757545953442,10.0
240,32.784609690826535,8.78460969082653,10.0
241,32.82262757399814,8.641476675812868,10.0
242,32.86002056165353,8.498179139539719,10.0
243,32.89678794188412,8.354719810185616,10.0
244,32.932929014692,8.211101419009395,10.0
245,32.968443092003234,8.067326700298205,10.0
246,33.00332949768099,7.923398391315442,10.0
247,33.037587567538374,7.779319232248642,10.0
248,33.071216649351136,7.635091966157306,10.0
249,33.10421610287003,7.490719338920683,10.0
250,33.13658529983303,7.346204099185487,10.0
251,33.16832362397727,7.201548998313567,10.0
252,33.199430471050825,7.056756790329528,10.0
253,33.22990524882415,6.911830231868298,10.0
254,33.25974737710143,6.766772082122642,10.0
255,33.28895628773154,6.621585102790633,10.0
256,33.31753142461892,6.476272058023078,10.0
257,33.345472243734164,6.330835714370883,10.0
258,33.372778213124356,6.18527884073239,10.0
259,33.3994488129232,6.0396042083006565,10.0
260,33.425483535360904,5.893814590510699,10.0
261,33.45088188477389,5.747912762986688,10.0
262,33.475643377614205,5.601901503489109,10.0
263,33.49976754245871,5.45578359186187,10.0
264,33.523253920018085,5.309561809979385,10.0
265,33.546102063145554,5.163238941693606,10.0
266,33.5683115368454,5.016817772781026,10.0
267,33.589881918281264,4.87030109088964,10.0
268,33.610812796784174,4.723691685485871,10.0
269,33.63110377386038,4.576992347801466,10.0
270,33.65075446319892,4.43020587078035,10.0
271,33.66976449067901,4.283335049025459,10.0
272,33.68813349437711,4.13638267874553,10.0
273,33.70586112457388,3.989351557701865,10.0
274,33.72294704376078,3.8422444851550672,10.0
275,33.739390926646564,3.695064261811748,10.0
276,33.755192460163386,3.5478136897712047,10.0
277,33.770351343472825,3.4004955724720713,10.0
278,33.78486728797159,3.253112714638947,10.0
279,33.79874001729704,3.105667922228997,10.0
280,33.8119692673324,2.9581640023785316,10.0
281,33.824554786211806,2.8106037633495626,10.0
282,33.83649633432513,2.6629900144763377,10.0
283,33.84779368432251,2.5153255661118545,10.0
284,33.85844662111869,2.3676132295743564,10.0
285,33.8684549418971,2.219855817093808,10.0
286,33.87781845611374,2.0720561417583556,10.0
287,33.8865369855008,1.9242170174607687,10.0
288,33.89461036407004,1.7763412588448684,10.0
289,33.90203843811599,1.6284316812519404,10.0
290,33.908821066218806,1.480491100667135,10.0
291,33.91495811924704,1.3325223336658552,10.0
292,33.92044948036004,1.1845281973601318,10.0
293,33.92529504501021,1.0365115093449913,10.0
294,33.92949472094498,0.888475087644812,10.0
295,33.93304842820858,0.7404217506596732,10.0
296,33.935956099143546,0.5923543171116968,10.0
297,33.93821767839201,0.44427560599138305,10.0
298,33.939833122896765,0.2961884365039407,10.0
299,33.940802401902076,0.14809562801561377,10.0
300,33.941125496954264,4.6278366804520154e-15,10.0
